pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
126.185722,-73.12695,180.0,top,J1,,,DSUB-9_Socket_EdgeMount_P2.77mm,DE9 Female,smt
113.325722,-123.05695,90.0,top,J2,,,PinHeader_1x09_P2.54mm_Vertical,Pin Header,tht
152.406138,-98.527366,0.0,top,R1,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,620Ω,tht
132.816138,-87.327366,0.0,top,R2,,,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,620Ω,tht
90.216138,-79.127366,0.0,top,SW1,,,SW_PUSH-12mm,UP,tht
90.216138,-113.127366,0.0,top,SW2,,,SW_PUSH-12mm,DOWN,tht
74.216138,-96.127366,0.0,top,SW3,,,SW_PUSH-12mm,LEFT,tht
106.216138,-96.127366,0.0,top,SW4,,,SW_PUSH-12mm,RIGHT,tht
149.966138,-107.627366,0.0,top,SW5,,,SW_PUSH-12mm,FIRE1,tht
130.216138,-96.127366,0.0,top,SW6,,,SW_PUSH-12mm,FIRE2,tht
